,companyName,country,prefix,streetAddress1,streetAddress2
113,Intel Corporate,MY,A402B9,"Lot 8, Jalan Hi-Tech 2/3",Kulim  Kedah  09000
114,Intel Corporate,MY,4C3488,"Lot 8, Jalan Hi-Tech 2/3",Kulim  Kedah  09000
115,BUFFALO.INC,JP,000D0B,"MELCO HI-TECH CENTER,",NAGOYA    457-8520
116,BUFFALO.INC,JP,000740,"AKAMONDORI Bldg., 30-20,Ohsu 3-chome","Naka-ku,Nagoya  Aichi Pref.  460-8315"
117,BUFFALO.INC,JP,0024A5,"AKAMONDORI Bldg., 30-20,Ohsu 3-chome","Naka-ku,Nagoya  Aichi Pref.  460-8315"
118,BUFFALO.INC,JP,DCFB02,"AKAMONDORI Bldg.,30-20,Ohsu 3-chome","Naka-ku,Nagoya  Aichi Pref  460-8315"
119,Hewlett Packard,US,F4CE46,11445 Compaq Center Drive,Houston    77070
120,Hewlett Packard,US,001CC4,20555 State Highway 249,Houston  TX  77070
121,Hewlett Packard,US,0025B3,20555 State Highway 249,Houston  TX  77070
122,Hewlett Packard,US,001871,20555 State Highway 249,Houston  TX  77070
123,Hewlett Packard,US,000BCD,20555 State Highway 249,Houston  TX  77070
124,Hewlett Packard,US,000E7F,20555 State Highway 249,Houston  TX  77070
125,Hewlett Packard,US,000F20,20555 State Highway 249,Houston  TX  77070
126,Hewlett Packard,US,00110A,20555 State Highway 249,Houston  TX  77070
127,Hewlett Packard,US,001321,20555 State Highway 249,Houston  TX  77070
128,Hewlett Packard,US,001635,20555 State Highway 249,Houston  TX  77070
129,Hewlett Packard,US,0017A4,20555 State Highway 249,Houston  TX  77070
130,Hewlett Packard,US,000802,20555 State Highway 249,Houston  TX  77070
131,HTC Corporation,TW,90E7C4,"No. 23, Xinghua Rd.",Taoyuan County  Taiwan  330
132,zte corporation,CN,74A78E,"12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China",shenzhen  guangdong  518057
133,bioMérieux Italia S.p.A.,IT,D860B0,"Via di Campigliano, 58",Bagno a Ripoli  Firenze  50012
134,"HUAWEI TECHNOLOGIES CO.,LTD",CN,8038BC,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808
135,"HUAWEI TECHNOLOGIES CO.,LTD",CN,D440F0,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808
136,"HUAWEI TECHNOLOGIES CO.,LTD",CN,64A651,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808
137,"HUAWEI TECHNOLOGIES CO.,LTD",CN,E8CD2D,"Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate",Shenzhen  GuangDong  518057
138,"HUAWEI TECHNOLOGIES CO.,LTD",CN,ACE215,"Building 17,Nangang Industrial Park, ",Shenzhen  Guangdong  518057
139,"HUAWEI TECHNOLOGIES CO.,LTD",CN,EC233D,"Building 17,Nangang Industrial Park, ",Shenzhen  Guangdong  518057
140,"HUAWEI TECHNOLOGIES CO.,LTD",CN,78F5FD,"Building 17,Nangang Industrial Park, ",Shenzhen  Guangdong  518057
141,"HUAWEI TECHNOLOGIES CO.,LTD",CN,80B686,"Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District ",Shenzhen  Guangdong  518057
142,"HUAWEI TECHNOLOGIES CO.,LTD",CN,10C61F,"Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District ",Shenzhen  Guangdong  518057
143,"HUAWEI TECHNOLOGIES CO.,LTD",CN,8853D4,"Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District ",Shenzhen  Guangdong  518057
144,"HUAWEI TECHNOLOGIES CO.,LTD",CN,0C37DC,"Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District ",Shenzhen  Guangdong  518057
145,"HUAWEI TECHNOLOGIES CO.,LTD",CN,BC7670,"Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District,",Shenzhen  Guangdong  518108
146,"HUAWEI TECHNOLOGIES CO.,LTD",CN,24DBAC,"Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District,",Shenzhen  Guangdong  518108
147,"Murata Manufacturing Co., Ltd.",JP,0021E8,"2288, Oaza-Ohshinohara, Yasu-cho,",Yasu-gun  Shiga  520-2393
148,"Murata Manufacturing Co., Ltd.",JP,006057,1-18-1 HAKUSAN MIDORI-KU,YOKOHAMA  226    12345
149,Hitron Technologies. Inc,KR,0007D8,135-220 Hitron B/D 726-5,Seoul    13456
150,"Brocade Communications Systems, Inc.",US,0012F2,130 Holger Way,San Jose  CA  95134
151,"Brocade Communications Systems, Inc.",US,001BED,130 Holger Way,San Jose  CA  95134
152,"Brocade Communications Systems, Inc.",US,002438,130 Holger Way,San Jose  CA  95134
153,zte corporation,CN,84742A,"12/F.,zte R&D building,kejinan Road,",shenzhen  guangdong  518057
