,Unnamed: 0,companyName,country,prefix,streetAddress1,streetAddress2
143,143,"HUAWEI TECHNOLOGIES CO.,LTD",CN,88:53:d4,"Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District ",Shenzhen  Guangdong  518057
144,144,"HUAWEI TECHNOLOGIES CO.,LTD",CN,0c:37:dc,"Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District ",Shenzhen  Guangdong  518057
145,145,"HUAWEI TECHNOLOGIES CO.,LTD",CN,bc:76:70,"Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District,",Shenzhen  Guangdong  518108
146,146,"HUAWEI TECHNOLOGIES CO.,LTD",CN,24:db:ac,"Building 17,Nangang Industrial Park, Tangtou 3nd Industrial Estate,Shiyan Baoan District,",Shenzhen  Guangdong  518108
147,147,"Murata Manufacturing Co., Ltd.",JP,00:21:e8,"2288, Oaza-Ohshinohara, Yasu-cho,",Yasu-gun  Shiga  520-2393
148,148,"Murata Manufacturing Co., Ltd.",JP,00:60:57,1-18-1 HAKUSAN MIDORI-KU,YOKOHAMA  226    12345
149,149,Hitron Technologies. Inc,KR,00:07:d8,135-220 Hitron B/D 726-5,Seoul    13456
150,150,"Brocade Communications Systems, Inc.",US,00:12:f2,130 Holger Way,San Jose  CA  95134
151,151,"Brocade Communications Systems, Inc.",US,00:1b:ed,130 Holger Way,San Jose  CA  95134
152,152,"Brocade Communications Systems, Inc.",US,00:24:38,130 Holger Way,San Jose  CA  95134
153,153,zte corporation,CN,84:74:2a,"12/F.,zte R&D building,kejinan Road,",shenzhen  guangdong  518057
154,154,zte corporation,CN,68:1a:b2,"12/F.,zte R&D building,kejinan Road,",shenzhen  guangdong  518057
155,155,"TP-LINK TECHNOLOGIES CO.,LTD.",CN,e0:05:c5,"Building 7, Second Part, Honghualing Industrial Zone",Shenzhen  Guangdong  518000
156,156,"TP-LINK TECHNOLOGIES CO.,LTD.",CN,a0:f3:c1,"Building 24 (floors 1,3,4,5) and 28 (floors1-4)  Central Science and Technology Park,Shennan Rd, Nanshan",shenzhen  guangdong Province  518057
157,157,"TP-LINK TECHNOLOGIES CO.,LTD.",CN,8c:21:0a,"Building 24 (floors 1,3,4,5) and 28 (floors1-4)  Central Science and Technology Park,Shennan Rd, Nanshan",shenzhen  guangdong Province  518057
158,158,"TP-LINK TECHNOLOGIES CO.,LTD.",CN,ec:17:2f,"Building 24 (floors 1,3,4,5) and 28 (floors1-4)  Central Science and Technology Park,Shennan Rd, Nanshan",shenzhen  guangdong Province  518057
159,159,"TP-LINK TECHNOLOGIES CO.,LTD.",CN,ec:88:8f,"Building 24 (floors 1,3,4,5) and 28 (floors1-4)  Central Science and Technology Park",Shenzhen  Guangdong  518057
160,160,"TP-LINK TECHNOLOGIES CO.,LTD.",CN,14:cf:92,"Building 24 (floors 1,3,4,5) and 28 (floors1-4)",shenzhen  guangdong Province  518057
161,161,"TP-LINK TECHNOLOGIES CO.,LTD.",CN,64:56:01,"Building 24 (floors 1,3,4,5) and 28 (floors1-4)","Shennan Rd, Nanshan  Shenzhen,Guangdong Province  518057"
162,162,"TP-LINK TECHNOLOGIES CO.,LTD.",CN,14:cc:20,"Building 24 (floors 1,3,4,5) and 28 (floors1-4)","Shennan Rd, Nanshan  Shenzhen,Guangdong Province  518057"
163,163,"TP-LINK TECHNOLOGIES CO.,LTD.",CN,bc:46:99,"Building 24 (floors 1,3,4,5) and 28 (floors1-4)","Shennan Rd, Nanshan  Shenzhen,Guangdong Province  518057"
164,164,"HUAWEI TECHNOLOGIES CO.,LTD",CN,0c:45:ba,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808
165,165,Cochlear Limited,AU,84:77:78,1 University Avenue,Sydney  New South Wales  2109
166,166,Sysorex Global Holdings,US,04:53:d5,Suite 195 2479 E. Bayshore Road,Palo Alto  CA  94303
167,167,"Apple, Inc.",US,cc:44:63,1 Infinite Loop,Cupertino  CA  95014
168,168,"Apple, Inc.",US,6c:72:e7,1 Infinite Loop,Cupertino  CA  95014
169,169,"HUAWEI TECHNOLOGIES CO.,LTD",CN,cc:a2:23,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808
170,170,"HUAWEI TECHNOLOGIES CO.,LTD",CN,e8:08:8b,"No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park",Dongguan    523808
